subject                       |result        |#sched |#after |#sets

sleepingbarber-eca-3          |NO_BUG        |417    |115    |76
                                                             set134: bef#=7, aft#=1, remConst#=2
                                                             set135: bef#=9, aft#=2, remConst#=1
                                                             set136: bef#=2, aft#=1, remConst#=0
                                                             set137: bef#=6, aft#=1, remConst#=0
                                                             set138: bef#=8, aft#=2, remConst#=2
                                                             set139: bef#=1, aft#=1, remConst#=0
                                                             set140: bef#=1, aft#=1, remConst#=0
                                                             set141: bef#=1, aft#=1, remConst#=0
                                                             set142: bef#=4, aft#=2, remConst#=0
                                                             set143: bef#=4, aft#=2, remConst#=0
                                                             set144: bef#=4, aft#=2, remConst#=0
                                                             set145: bef#=1, aft#=1, remConst#=0
                                                             set146: bef#=21, aft#=2, remConst#=3
                                                             set147: bef#=13, aft#=2, remConst#=2
                                                             set148: bef#=1, aft#=1, remConst#=0
                                                             set149: bef#=9, aft#=2, remConst#=2
                                                             set150: bef#=2, aft#=1, remConst#=1
                                                             set151: bef#=1, aft#=1, remConst#=0
                                                             set152: bef#=2, aft#=1, remConst#=0
                                                             set153: bef#=1, aft#=1, remConst#=0
                                                             set154: bef#=4, aft#=1, remConst#=0
                                                             set155: bef#=15, aft#=2, remConst#=1

==========================================
musicplayer3-eca-1            |DEADLOCK      |4      |3      |3
                                                             set1: bef#=1, aft#=1, remConst#=0
                                                             set2: bef#=1, aft#=1, remConst#=0
                                                             set3: bef#=2, aft#=1, remConst#=0

musicplayer3-eca-1            |NO_BUG        |105    |36     |15
                                                             set1: bef#=1, aft#=1, remConst#=0
                                                             set2: bef#=2, aft#=2, remConst#=0
                                                             set3: bef#=5, aft#=3, remConst#=2
                                                             set4: bef#=1, aft#=1, remConst#=0
                                                             set5: bef#=2, aft#=2, remConst#=0
                                                             set6: bef#=1, aft#=1, remConst#=0
                                                             set7: bef#=1, aft#=1, remConst#=0
                                                             set8: bef#=1, aft#=1, remConst#=0
                                                             set9: bef#=1, aft#=1, remConst#=0
                                                             set10: bef#=1, aft#=1, remConst#=0
                                                             set11: bef#=1, aft#=1, remConst#=0
                                                             set12: bef#=84, aft#=18, remConst#=7
                                                             set13: bef#=1, aft#=1, remConst#=0
                                                             set14: bef#=1, aft#=1, remConst#=0
                                                             set15: bef#=2, aft#=1, remConst#=0

==========================================
minesweeper-eca-2             |DEADLOCK      |15     |1      |1
                                                             set1: bef#=15, aft#=1, remConst#=0

minesweeper-eca-2             |NO_BUG        |672    |22     |2
                                                             set1: bef#=43, aft#=6, remConst#=8
                                                             set2: bef#=629, aft#=16, remConst#=201

==========================================
leader-eca-2                  |NO_BUG        |513    |65     |20
                                                             set1: bef#=1, aft#=1, remConst#=0
                                                             set2: bef#=1, aft#=1, remConst#=0
                                                             set3: bef#=24, aft#=4, remConst#=10
                                                             set4: bef#=3, aft#=1, remConst#=0
                                                             set5: bef#=3, aft#=1, remConst#=2
                                                             set6: bef#=114, aft#=8, remConst#=43
                                                             set7: bef#=1, aft#=1, remConst#=0
                                                             set8: bef#=9, aft#=2, remConst#=4
                                                             set9: bef#=66, aft#=6, remConst#=20
                                                             set10: bef#=8, aft#=2, remConst#=6
                                                             set11: bef#=13, aft#=4, remConst#=9
                                                             set12: bef#=7, aft#=1, remConst#=0
                                                             set13: bef#=12, aft#=1, remConst#=3
                                                             set14: bef#=125, aft#=10, remConst#=49
                                                             set15: bef#=2, aft#=1, remConst#=1
                                                             set16: bef#=11, aft#=4, remConst#=9
                                                             set17: bef#=5, aft#=2, remConst#=2
                                                             set18: bef#=6, aft#=4, remConst#=0
                                                             set19: bef#=28, aft#=5, remConst#=12
                                                             set20: bef#=74, aft#=6, remConst#=24

leader-eca-2                  |INVALID_STATE |1144   |11     |1
                                                             set1: bef#=1144, aft#=11, remConst#=247

==========================================
activestandby-eca-3           |NO_BUG        |179    |10     |2
                                                             set1: bef#=7, aft#=2, remConst#=2
                                                             set2: bef#=172, aft#=8, remConst#=147

activestandby-eca-3           |INVALID_STATE |31     |3      |1
                                                             set1: bef#=31, aft#=3, remConst#=11

==========================================
